Wavelength,Intensity
365.73,0
365.91,11
366.09,11
366.28,9
366.46,12
366.64,12
366.83,7
367.01,14
367.19,7
367.38,9
367.56,8
367.74,10
367.93,10
368.11,14
368.29,13
368.47,12
368.66,15
368.84,11
369.02,12
369.21,17
369.39,13
369.57,7
369.76,14
369.94,11
370.12,9
370.3,6
370.49,12
370.67,14
370.85,10
371.04,15
371.22,12
371.4,7
371.58,11
371.77,4
371.95,12
372.13,5
372.31,5
372.5,16
372.68,12
372.86,14
373.04,16
373.23,19
373.41,14
373.59,12
373.77,18
373.96,12
374.14,13
374.32,18
374.5,12
374.68,13
374.87,15
375.05,20
375.23,8
375.41,5
375.6,11
375.78,13
375.96,9
376.14,11
376.32,10
376.5,13
376.69,15
376.87,11
377.05,13
377.23,12
377.41,9
377.6,6
377.78,3
377.96,11
378.14,9
378.32,12
378.5,16
378.69,19
378.87,10
379.05,11
379.23,11
379.41,11
379.59,9
379.77,15
379.96,12
380.14,7
380.32,6
380.5,16
380.68,8
380.86,10
381.04,11
381.22,8
381.41,10
381.59,11
381.77,7
381.95,9
382.13,12
382.31,12
382.49,15
382.67,10
382.85,13
383.03,11
383.22,10
383.4,12
383.58,21
383.76,11
383.94,12
384.12,6
384.3,9
384.48,14
384.66,15
384.84,9
385.02,11
385.2,14
385.38,15
385.56,15
385.74,7
385.92,7
386.11,11
386.29,18
386.47,9
386.65,7
386.83,18
387.01,10
387.19,8
387.37,7
387.55,10
387.73,11
387.91,9
388.09,14
388.27,8
388.45,14
388.63,7
388.81,12
388.99,8
389.17,11
389.35,12
389.53,10
389.71,7
389.89,16
390.07,8
390.25,10
390.43,12
390.6,12
390.78,6
390.96,19
391.14,9
391.32,13
391.5,17
391.68,13
391.86,15
392.04,15
392.22,10
392.4,10
392.58,10
392.76,7
392.94,10
393.12,9
393.3,22
393.47,13
393.65,9
393.83,16
394.01,10
394.19,11
394.37,8
394.55,7
394.73,13
394.91,10
395.09,12
395.26,12
395.44,14
395.62,9
395.8,10
395.98,10
396.16,8
396.34,16
396.52,14
396.69,12
396.87,14
397.05,9
