WL,Data,Data,Data
365.73,0,0,0
365.91,26,31,27
366.09,27,24,34
366.28,29,29,31
366.46,24,37,29
366.64,26,35,30
366.83,23,37,38
367.01,24,24,30
367.19,23,37,32
367.38,25,29,27
367.56,27,36,25
367.74,21,28,36
367.93,23,30,32
368.11,27,39,25
368.29,25,30,30
368.47,32,33,38
368.66,28,30,31
368.84,26,33,29
369.02,24,29,27
369.21,26,32,30
369.39,24,28,33
369.57,24,26,32
369.76,30,34,29
369.94,28,34,28
370.12,24,28,32
370.3,32,30,34
370.49,29,34,32
370.67,22,38,27
370.85,28,28,31
371.04,26,37,39
371.22,26,36,31
371.4,28,39,31
371.58,28,33,24
371.77,24,35,35
371.95,28,27,31
372.13,29,35,28
372.31,32,29,28
372.5,27,34,35
372.68,27,32,34
372.86,33,31,26
373.04,28,37,33
373.23,32,36,37
373.41,25,34,29
373.59,29,29,36
373.77,31,33,32
373.96,32,31,31
374.14,29,39,41
374.32,32,37,37
374.5,24,28,32
374.68,26,29,26
374.87,24,28,28
375.05,31,33,29
375.23,27,34,29
375.41,24,27,23
375.6,23,26,33
375.78,22,29,24
375.96,32,30,32
376.14,25,27,31
376.32,29,32,30
376.5,23,35,28
376.69,30,32,29
376.87,22,32,34
377.05,33,23,30
377.23,26,30,34
377.41,18,34,21
377.6,28,33,34
377.78,28,23,34
377.96,27,28,29
378.14,28,32,37
378.32,26,33,30
378.5,28,32,27
378.69,30,35,30
378.87,28,32,27
379.05,23,36,35
379.23,28,33,32
379.41,31,31,32
379.59,31,30,26
379.77,23,33,29
379.96,21,33,27
380.14,30,25,31
380.32,29,28,29
380.5,24,27,25
380.68,31,30,27
380.86,24,29,38
381.04,24,34,27
381.22,32,28,33
381.41,30,28,29
381.59,27,30,29
381.77,28,33,35
381.95,30,26,28
382.13,27,33,32
382.31,30,33,31
382.49,32,28,36
382.67,26,33,30
382.85,23,37,29
383.03,25,33,33
383.22,27,31,36
383.4,25,31,35
383.58,38,37,35
383.76,30,35,24
383.94,27,29,31
384.12,25,30,25
384.3,21,35,28
384.48,28,31,29
384.66,25,35,29
384.84,19,27,33
385.02,30,30,25
385.2,23,32,32
385.38,24,25,28
385.56,28,26,33
385.74,26,32,28
385.92,18,35,31
386.11,26,29,30
386.29,28,28,26
386.47,27,29,30
386.65,27,37,32
386.83,32,36,34
387.01,25,28,34
387.19,28,29,29
387.37,25,31,37
387.55,34,30,33
387.73,24,35,32
387.91,19,35,29
388.09,29,36,38
388.27,28,31,34
388.45,26,31,27
388.63,24,32,27
388.81,27,33,32
388.99,30,31,32
389.17,30,38,27
389.35,24,31,22
389.53,26,30,31
389.71,31,33,34
389.89,33,37,38
390.07,25,33,35
390.25,28,33,25
390.43,31,32,32
390.6,28,29,28
390.78,27,26,34
390.96,29,26,33
391.14,25,34,25
391.32,28,31,31
391.5,30,30,30
391.68,25,35,29
391.86,31,30,32
392.04,28,30,32
392.22,21,26,31
392.4,26,30,24
392.58,31,31,27
392.76,27,39,30
392.94,26,32,33
393.12,21,30,28
393.3,22,29,32
393.47,30,29,32
393.65,33,35,30
393.83,26,30,32
394.01,31,34,32
394.19,30,32,32
394.37,27,33,33
394.55,29,27,32
394.73,22,29,37
394.91,26,33,30
395.09,26,26,30
395.26,34,37,29
395.44,27,33,30
395.62,28,30,31
395.8,25,27,32
395.98,29,32,32
396.16,27,38,33
396.34,44,47,42
396.52,35,37,41
396.69,28,29,29
396.87,30,34,30
397.05,24,31,26
397.23,28,33,29
397.41,33,33,39
397.59,25,29,32
397.76,30,29,32
397.94,29,30,33
398.12,26,30,36
398.3,30,34,30
398.48,26,34,31
398.66,32,33,38
398.83,25,24,34
399.01,29,29,31
399.19,28,28,27
399.37,28,33,32
399.55,30,36,34
399.73,32,42,26
399.9,28,31,29
400.08,23,34,33
400.26,25,28,32
400.44,29,28,36
400.61,27,32,30
400.79,23,33,31
400.97,25,32,30
401.15,34,31,32
401.33,30,39,38
401.5,29,33,38
401.68,29,31,30
401.86,28,26,29
402.04,32,38,35
402.21,29,27,29
402.39,24,30,37
402.57,33,31,32
402.75,26,34,30
402.92,27,30,29
403.1,23,29,29
403.28,27,31,28
403.46,33,30,27
403.63,31,33,28
403.81,29,34,28
403.99,29,33,22
404.17,31,35,38
404.34,27,35,34
404.52,31,27,30
404.7,26,37,28
404.87,26,30,32
405.05,28,36,30
405.23,32,35,27
405.41,24,29,26
405.58,24,35,32
405.76,24,38,25
405.94,28,29,33
406.11,27,29,33
406.29,32,28,29
406.47,27,35,33
406.64,29,34,31
406.82,29,28,35
407,36,33,34
407.17,25,30,28
407.35,26,29,35
407.53,31,33,28
407.7,26,26,32
407.88,30,30,34
408.06,33,32,32
408.23,29,27,28
408.41,31,30,27
408.59,26,33,25
408.76,27,33,26
408.94,22,33,34
409.12,31,36,31
409.29,29,39,34
409.47,63,64,59
409.64,92,94,105
409.82,61,68,65
410,35,46,39
410.17,29,31,34
410.35,28,33,32
410.52,24,32,35
410.7,34,33,28
410.88,19,32,26
411.05,34,30,35
411.23,27,35,40
411.4,27,31,30
411.58,27,35,40
411.76,22,30,30
411.93,27,33,31
412.11,24,33,30
412.28,28,28,30
412.46,29,29,30
412.63,22,31,34
412.81,25,29,32
412.99,32,25,31
413.16,29,30,33
413.34,30,30,28
413.51,28,37,33
413.69,29,34,37
413.86,31,38,32
414.04,32,35,36
414.21,29,32,27
414.39,21,36,38
414.56,30,32,33
414.74,30,32,27
414.92,31,30,26
415.09,28,31,34
415.27,28,38,34
415.44,29,26,33
415.62,31,27,32
415.79,29,32,28
415.97,27,38,32
416.14,34,33,30
416.32,30,30,28
416.49,23,30,25
416.67,24,30,29
416.84,29,35,32
417.01,34,35,31
417.19,32,30,26
417.36,23,32,26
417.54,28,30,24
417.71,34,32,29
417.89,33,38,34
418.06,28,31,27
418.24,28,32,33
418.41,29,34,36
418.59,24,31,33
418.76,24,31,28
418.94,28,33,33
419.11,27,33,32
419.28,22,37,34
419.46,26,31,34
419.63,30,30,30
419.81,26,33,33
419.98,26,24,32
420.16,28,30,29
420.33,25,34,30
420.5,29,36,28
420.68,25,27,33
420.85,21,34,29
421.03,31,36,28
421.2,24,30,34
421.37,33,31,25
421.55,31,34,35
421.72,31,31,30
421.9,24,34,29
422.07,24,33,30
422.24,25,31,32
422.42,26,37,33
422.59,34,35,34
422.76,28,28,32
422.94,29,27,30
423.11,27,34,31
423.28,27,31,32
423.46,24,27,35
423.63,29,34,26
423.8,25,41,33
423.98,34,35,26
424.15,26,35,33
424.32,31,30,32
424.5,25,29,31
424.67,32,39,32
424.84,29,36,33
425.02,33,38,35
425.19,25,34,33
425.36,29,32,34
425.54,24,33,33
425.71,22,30,33
425.88,24,34,31
426.06,26,36,36
426.23,24,36,31
426.4,26,34,33
426.57,29,33,32
426.75,32,33,34
426.92,28,34,29
427.09,30,35,35
427.27,22,37,31
427.44,24,35,36
427.61,29,34,32
427.78,26,26,26
427.96,29,26,25
428.13,27,24,29
428.3,29,29,36
428.47,29,31,36
428.65,30,33,29
428.82,28,30,26
428.99,33,26,30
429.16,32,31,33
429.34,20,28,37
429.51,31,33,33
429.68,26,32,34
429.85,29,37,31
430.02,29,29,33
430.2,26,30,36
430.37,33,33,31
430.54,31,35,34
430.71,31,29,33
430.88,25,35,31
431.06,28,34,29
431.23,22,36,32
431.4,26,35,33
431.57,28,32,34
431.74,29,33,36
431.92,25,31,32
432.09,24,38,31
432.26,27,31,33
432.43,28,31,33
432.6,28,37,35
432.77,37,32,35
432.94,26,32,37
433.12,38,48,41
433.29,157,165,161
433.46,442,433,421
433.63,331,324,329
433.8,137,150,141
433.97,62,80,69
434.14,39,44,36
434.32,31,38,35
434.49,25,35,33
434.66,27,37,35
434.83,30,33,31
435,24,36,28
435.17,44,47,47
435.34,54,74,68
435.51,49,65,62
435.68,44,47,45
435.85,39,44,37
436.03,27,33,33
436.2,33,30,35
436.37,31,40,33
436.54,27,31,32
436.71,26,36,36
436.88,22,30,30
437.05,27,34,27
437.22,31,40,32
437.39,27,35,35
437.56,32,31,39
437.73,25,37,30
437.9,21,33,31
438.07,26,32,33
438.24,34,34,38
438.41,25,33,25
438.58,24,38,31
438.75,29,35,32
438.92,30,33,35
439.09,29,33,25
439.26,25,30,27
439.43,30,31,33
439.6,29,30,24
439.77,27,27,30
439.94,26,32,27
440.11,28,33,29
440.28,28,28,34
440.45,26,34,32
440.62,29,34,29
440.79,33,35,37
440.96,27,32,33
441.13,24,34,29
441.3,30,30,30
441.47,29,31,28
441.64,35,29,31
441.81,26,36,34
441.98,31,35,35
442.15,23,33,26
442.32,26,33,31
442.49,29,29,32
442.66,34,34,28
442.83,24,36,36
443,30,34,35
443.17,25,28,33
443.33,35,37,30
443.5,30,31,28
443.67,34,31,33
443.84,29,35,32
444.01,26,29,32
444.18,29,31,30
444.35,24,33,37
444.52,33,36,33
444.69,22,33,28
444.86,28,38,34
445.02,30,32,38
445.19,27,32,30
445.36,30,29,29
445.53,28,36,25
445.7,27,32,31
445.87,32,42,42
446.04,32,34,36
446.2,29,33,26
446.37,33,27,36
446.54,28,39,31
446.71,31,30,35
446.88,29,31,32
447.05,23,34,31
447.21,28,34,24
447.38,30,34,30
447.55,32,31,33
447.72,23,30,30
447.89,21,29,28
448.06,26,36,27
448.22,28,34,34
448.39,31,31,32
448.56,27,30,33
448.73,30,36,28
448.9,27,35,30
449.06,28,36,35
449.23,33,36,29
449.4,34,32,32
449.57,32,33,33
449.73,26,28,30
449.9,28,25,30
450.07,33,35,30
450.24,25,33,28
450.4,26,34,25
450.57,29,34,26
