WL,Data,Data,Data
365.73,0,0,0
365.91,14,9,15
366.09,12,10,6
366.28,6,7,0
366.46,7,11,6
366.64,10,9,14
366.83,13,10,9
367.01,11,11,10
367.19,6,5,13
367.38,13,5,6
367.56,4,11,6
367.74,11,6,5
367.93,10,11,4
368.11,14,17,9
368.29,13,8,11
368.47,8,6,7
368.66,8,10,20
368.84,10,9,6
369.02,12,13,6
369.21,8,9,6
369.39,10,4,7
369.57,6,10,9
369.76,6,14,8
369.94,9,9,7
370.12,10,12,14
370.3,10,7,8
370.49,15,12,14
370.67,14,4,7
370.85,10,6,9
371.04,8,7,10
371.22,13,11,8
371.4,13,8,13
371.58,7,12,5
371.77,13,2,10
371.95,7,11,11
372.13,9,8,7
372.31,12,6,11
372.5,9,8,11
372.68,12,11,7
372.86,8,12,6
373.04,8,14,9
373.23,14,15,15
373.41,14,7,9
373.59,7,2,13
373.77,13,9,9
373.96,10,6,8
374.14,8,6,10
374.32,14,16,13
374.5,10,8,9
374.68,5,14,10
374.87,11,7,8
375.05,10,7,13
375.23,8,8,7
375.41,12,12,6
375.6,11,12,7
375.78,13,7,9
375.96,8,9,14
376.14,9,10,2
376.32,11,8,11
376.5,14,16,11
376.69,17,9,13
376.87,14,11,5
377.05,10,10,7
377.23,8,7,9
377.41,8,10,10
377.6,11,12,9
377.78,9,11,14
377.96,9,11,13
378.14,12,9,13
378.32,15,12,9
378.5,10,7,8
378.69,17,24,13
378.87,10,14,6
379.05,9,9,10
379.23,7,8,9
379.41,11,7,10
379.59,15,12,9
379.77,8,14,6
379.96,9,15,8
380.14,12,6,3
380.32,15,8,9
380.5,6,11,10
380.68,10,13,13
380.86,10,8,6
381.04,9,11,6
381.22,7,11,8
381.41,12,8,9
381.59,11,7,7
381.77,15,10,16
381.95,10,10,11
382.13,9,5,10
382.31,5,13,8
382.49,12,7,11
382.67,15,13,14
382.85,12,6,5
383.03,11,16,6
383.22,3,13,7
383.4,12,13,5
383.58,18,24,22
383.76,8,14,9
383.94,6,11,11
384.12,7,8,12
384.3,11,7,5
384.48,11,5,3
384.66,12,17,13
384.84,8,7,7
385.02,10,9,10
385.2,8,3,8
385.38,11,6,7
385.56,5,7,8
385.74,9,9,10
385.92,7,6,5
386.11,12,9,8
386.29,5,8,8
386.47,12,4,4
386.65,14,10,12
386.83,10,16,12
387.01,7,16,6
387.19,11,12,11
387.37,11,11,4
387.55,11,10,11
387.73,7,13,9
387.91,11,7,10
388.09,8,13,8
388.27,11,14,17
388.45,14,10,9
388.63,12,11,7
388.81,13,12,13
388.99,12,9,10
389.17,10,9,12
389.35,12,9,11
389.53,8,13,8
389.71,9,7,11
389.89,14,18,17
390.07,15,14,8
390.25,9,12,11
390.43,6,14,2
390.6,6,7,8
390.78,11,6,9
390.96,7,9,2
391.14,9,10,5
391.32,9,13,9
391.5,3,5,14
391.68,8,11,6
391.86,8,6,13
392.04,12,4,9
392.22,10,6,14
392.4,13,11,9
392.58,9,6,11
392.76,10,8,9
392.94,10,7,6
393.12,12,11,11
393.3,7,6,3
393.47,10,11,11
393.65,6,11,14
393.83,16,13,6
394.01,9,14,6
394.19,7,16,15
394.37,13,18,4
394.55,14,7,8
394.73,12,8,10
394.91,14,6,6
395.09,11,11,6
395.26,11,17,6
395.44,15,9,5
395.62,7,9,7
395.8,10,4,6
395.98,11,5,9
396.16,11,14,11
396.34,19,20,20
396.52,26,19,25
396.69,15,6,18
396.87,14,12,11
397.05,7,7,6
397.23,15,12,11
397.41,12,11,7
397.59,13,7,15
397.76,11,3,6
397.94,7,8,9
398.12,8,7,10
398.3,9,7,5
398.48,8,14,10
398.66,14,13,13
398.83,14,9,11
399.01,12,7,11
399.19,7,11,5
399.37,10,16,11
399.55,6,10,11
399.73,15,10,10
399.9,10,13,8
400.08,9,15,7
400.26,10,11,12
400.44,11,12,8
400.61,8,13,14
400.79,12,14,10
400.97,14,12,15
401.15,9,8,10
401.33,13,15,14
401.5,14,12,11
401.68,12,9,8
401.86,10,7,8
402.04,10,9,12
402.21,8,11,4
402.39,11,14,9
402.57,10,9,4
402.75,11,6,5
402.92,3,15,9
403.1,10,9,8
403.28,12,8,13
403.46,14,12,13
403.63,11,8,9
403.81,10,7,10
403.99,7,11,9
404.17,18,15,13
404.34,9,10,13
404.52,8,14,9
404.7,12,7,11
404.87,6,11,7
405.05,8,11,10
405.23,7,12,10
405.41,11,13,10
405.58,12,8,7
405.76,10,10,10
405.94,10,17,10
406.11,7,17,12
406.29,12,11,10
406.47,10,8,12
406.64,14,16,11
406.82,12,18,20
407,9,12,9
407.17,6,9,10
407.35,6,9,7
407.53,11,8,9
407.7,9,11,9
407.88,12,10,8
408.06,16,13,7
408.23,9,12,10
408.41,8,11,10
408.59,10,8,5
408.76,11,5,10
408.94,12,6,8
409.12,17,14,13
409.29,12,6,9
409.47,29,28,21
409.64,67,62,63
409.82,54,62,54
410,23,26,32
410.17,14,10,10
410.35,10,12,8
410.52,10,10,9
410.7,8,14,11
410.88,13,12,14
411.05,12,7,10
411.23,12,11,5
411.4,12,6,21
411.58,11,12,19
411.76,10,10,9
411.93,8,10,9
412.11,6,9,6
412.28,9,11,12
412.46,10,13,16
412.63,16,10,10
412.81,14,20,9
412.99,11,11,12
413.16,7,14,13
413.34,11,13,12
413.51,10,5,12
413.69,10,9,5
413.86,9,9,10
414.04,14,19,10
414.21,13,7,11
414.39,12,8,9
414.56,8,10,7
414.74,14,15,11
414.92,9,10,7
415.09,4,8,3
415.27,12,9,10
415.44,14,3,9
415.62,11,4,8
415.79,15,11,9
415.97,5,7,10
416.14,10,8,7
416.32,10,5,13
416.49,9,3,9
416.67,13,13,14
416.84,5,10,5
417.01,12,10,12
417.19,7,14,14
417.36,8,6,16
417.54,9,9,9
417.71,9,11,11
417.89,12,8,12
418.06,11,11,7
418.24,4,11,12
418.41,11,9,14
418.59,10,10,11
418.76,14,14,11
418.94,12,11,9
419.11,8,6,11
419.28,14,11,9
419.46,14,9,8
419.63,13,14,11
419.81,21,14,5
419.98,8,9,10
420.16,8,10,13
420.33,7,4,5
420.5,12,12,11
420.68,7,9,7
420.85,10,10,6
421.03,10,7,10
421.2,7,0,12
421.37,7,10,6
421.55,14,10,10
421.72,9,11,8
421.9,12,11,8
422.07,12,11,7
422.24,10,8,6
422.42,16,10,15
422.59,10,5,13
422.76,10,5,5
422.94,13,9,6
423.11,3,16,6
423.28,10,10,13
423.46,10,10,11
423.63,16,5,11
423.8,12,16,9
423.98,13,9,11
424.15,16,5,9
424.32,13,13,14
424.5,7,9,13
424.67,15,11,12
424.84,8,13,7
425.02,9,14,2
425.19,10,7,15
425.36,16,15,17
425.54,11,6,10
425.71,10,14,9
425.88,11,14,8
426.06,6,18,8
426.23,14,17,9
426.4,12,10,8
426.57,9,9,6
426.75,13,14,5
426.92,9,12,12
427.09,8,13,14
427.27,19,8,7
427.44,10,11,11
427.61,10,13,14
427.78,8,11,7
427.96,10,14,8
428.13,15,16,11
428.3,6,11,4
428.47,14,9,10
428.65,10,9,14
428.82,16,12,12
428.99,8,15,10
429.16,4,14,5
429.34,8,13,9
429.51,11,14,15
429.68,16,9,7
429.85,6,9,6
430.02,13,13,5
430.2,14,13,13
430.37,11,14,11
430.54,6,10,9
430.71,8,4,8
430.88,14,12,3
431.06,9,8,10
431.23,7,10,13
431.4,6,6,5
431.57,14,9,7
431.74,15,8,13
431.92,13,9,8
432.09,15,9,11
432.26,15,15,11
432.43,12,11,14
432.6,11,14,12
432.77,10,12,12
432.94,12,7,13
433.12,16,17,17
433.29,81,66,59
433.46,320,333,326
433.63,329,393,362
433.8,150,157,157
433.97,50,49,55
434.14,20,18,14
434.32,15,13,9
434.49,14,13,8
434.66,19,15,8
434.83,16,10,11
435,17,16,13
435.17,23,18,11
435.34,70,34,33
435.51,58,32,29
435.68,28,20,20
435.85,20,14,14
436.03,16,9,17
436.2,9,11,11
436.37,15,10,15
436.54,12,6,15
436.71,12,8,4
436.88,12,8,9
437.05,11,13,8
437.22,6,9,12
437.39,10,5,10
437.56,17,6,13
437.73,13,10,14
437.9,8,7,9
438.07,15,13,13
438.24,10,13,8
438.41,8,13,12
438.58,15,12,9
438.75,7,13,10
438.92,17,10,13
439.09,9,8,7
439.26,16,14,11
439.43,7,10,8
439.6,17,15,6
439.77,15,13,13
439.94,9,17,7
440.11,10,4,6
440.28,8,14,5
440.45,12,13,15
440.62,11,7,9
440.79,14,9,13
440.96,10,9,12
441.13,11,17,8
441.3,12,10,14
441.47,13,6,8
441.64,15,8,16
441.81,11,15,5
441.98,10,8,13
442.15,13,6,6
442.32,11,9,10
442.49,6,14,12
442.66,8,8,17
442.83,8,16,12
443,13,14,10
443.17,8,14,10
443.33,14,12,10
443.5,12,12,12
443.67,16,17,9
443.84,11,13,12
444.01,10,6,9
444.18,12,11,9
444.35,11,9,6
444.52,8,12,7
444.69,10,10,5
444.86,15,14,9
445.02,14,10,13
445.19,9,10,8
445.36,14,10,15
445.53,19,8,6
445.7,9,9,13
445.87,24,14,19
446.04,22,11,9
446.2,14,9,13
446.37,10,6,10
446.54,8,12,8
446.71,12,9,5
446.88,11,11,13
447.05,6,13,10
447.21,13,13,13
447.38,16,12,8
447.55,9,16,12
447.72,1,7,11
447.89,8,12,5
448.06,7,12,7
448.22,14,1,3
448.39,8,10,13
448.56,3,15,11
448.73,7,17,5
448.9,14,12,12
449.06,18,8,11
449.23,12,19,13
449.4,8,15,12
449.57,17,14,14
449.73,13,17,14
449.9,13,8,12
450.07,14,9,12
450.24,12,12,10
450.4,14,14,8
450.57,14,12,8
450.74,17,11,4
450.91,9,16,9
451.07,7,2,10
451.24,12,16,5
451.41,13,14,12
451.58,10,7,11
451.74,14,7,9
451.91,11,7,13
452.08,16,16,4
452.24,12,8,16
452.41,7,9,14
452.58,12,8,11
452.75,9,11,11
452.91,18,11,9
453.08,12,9,12
453.25,13,12,7
453.41,12,7,10
453.58,13,13,10
453.75,13,10,4
453.91,15,9,10
454.08,14,12,8
454.25,16,9,12
454.41,11,16,8
454.58,14,12,9
454.75,12,12,12
454.91,11,4,15
455.08,10,11,8
455.25,15,5,6
455.41,13,5,5
455.58,14,15,17
455.74,8,11,16
455.91,11,15,7
456.08,8,7,6
456.24,5,12,9
456.41,11,15,8
456.57,13,16,13
456.74,5,10,10
456.91,16,13,14
457.07,10,16,12
457.24,12,8,11
457.4,7,10,16
457.57,9,9,10
457.74,11,13,9
457.9,10,10,15
458.07,13,9,11
458.23,4,19,13
458.4,10,12,10
458.56,11,9,10
458.73,13,12,3
458.89,13,5,12
459.06,6,11,14
459.22,18,5,18
459.39,14,13,20
459.56,11,10,9
459.72,8,8,12
459.89,15,16,4
460.05,14,9,10
460.22,11,8,6
460.38,12,11,3
460.55,10,9,13
460.71,12,14,15
460.88,10,6,9
461.04,8,12,9
461.21,12,15,6
461.37,12,9,6
461.54,8,10,12
461.7,14,7,10
461.86,14,12,8
462.03,15,11,9
462.19,8,17,10
462.36,13,5,15
462.52,11,7,14
462.69,5,7,7
462.85,10,15,10
463.02,8,10,12
463.18,13,11,20
463.35,12,12,10
463.51,15,11,14
463.67,14,7,12
463.84,12,8,14
464,8,8,3
464.17,2,10,9
464.33,12,11,15
464.49,12,16,14
464.66,15,2,12
464.82,2,10,14
464.99,13,12,7
465.15,8,12,8
465.31,12,15,13
465.48,13,8,12
465.64,10,10,9
465.8,15,13,10
465.97,6,9,12
466.13,11,9,14
466.3,14,12,10
466.46,16,11,12
466.62,10,9,14
466.79,15,15,10
466.95,6,9,6
467.11,14,12,9
467.28,14,9,15
467.44,4,3,12
467.6,7,8,9
467.77,12,12,8
467.93,11,13,14
468.09,12,15,9
468.25,4,9,9
468.42,9,5,11
468.58,7,6,14
468.74,18,4,13
468.91,12,11,10
469.07,10,16,9
469.23,8,13,9
469.39,7,11,9
469.56,14,14,6
