WL,Data,Data,Data
365.73,0,0,0
365.91,9,6,13
366.09,6,5,5
366.28,0,2,3
366.46,1,0,11
366.64,8,13,17
366.83,4,9,8
367.01,5,10,5
367.19,3,4,7
367.38,8,8,13
367.56,10,5,13
367.74,13,7,12
367.93,9,12,10
368.11,9,7,7
368.29,8,13,8
368.47,2,9,7
368.66,4,15,10
368.84,8,9,12
369.02,4,9,2
369.21,8,12,8
369.39,9,9,7
369.57,12,4,6
369.76,5,10,14
369.94,6,9,9
370.12,6,9,3
370.3,6,12,11
370.49,13,12,9
370.67,15,10,8
370.85,12,10,3
371.04,6,13,7
371.22,10,14,13
371.4,4,11,8
371.58,11,11,12
371.77,10,12,11
371.95,16,11,13
372.13,8,9,10
372.31,11,9,12
372.5,15,15,15
372.68,15,5,12
372.86,7,7,10
373.04,7,10,10
373.23,15,15,14
373.41,12,7,19
373.59,13,7,9
373.77,21,11,11
373.96,10,9,7
374.14,15,14,10
374.32,15,16,14
374.5,15,7,17
374.68,7,6,14
374.87,6,5,14
375.05,5,8,11
375.23,16,8,12
375.41,10,10,13
375.6,9,11,11
375.78,9,9,19
375.96,12,11,8
376.14,8,8,8
376.32,10,12,10
376.5,15,7,18
376.69,11,14,21
376.87,13,11,8
377.05,12,9,6
377.23,11,11,12
377.41,5,7,16
377.6,13,3,11
377.78,13,4,10
377.96,11,5,12
378.14,9,16,13
378.32,13,8,11
378.5,15,11,7
378.69,15,25,25
378.87,14,9,10
379.05,16,11,17
379.23,9,7,7
379.41,9,11,14
379.59,11,16,10
379.77,7,12,8
379.96,13,8,8
380.14,11,10,8
380.32,11,12,14
380.5,11,11,17
380.68,8,11,8
380.86,14,16,8
381.04,11,10,8
381.22,14,7,20
381.41,14,12,10
381.59,11,10,13
381.77,10,15,14
381.95,9,10,4
382.13,9,6,15
382.31,21,13,14
382.49,14,11,11
382.67,7,13,11
382.85,10,9,8
383.03,8,12,16
383.22,19,14,14
383.4,12,10,15
383.58,17,20,31
383.76,13,12,11
383.94,16,11,8
384.12,7,11,14
384.3,8,11,16
384.48,7,10,10
384.66,13,11,10
384.84,15,9,10
