WL,Data 1,Data 2,Data 3
365.73,0,0,0
365.91,8,10,9
366.09,13,13,12
366.28,10,6,6
366.46,10,11,10
366.64,9,13,9
366.83,10,7,9
367.01,5,9,7
367.19,11,11,11
367.38,11,9,7
367.56,6,7,6
367.74,12,11,7
367.93,12,3,7
368.11,11,11,8
368.29,11,8,12
368.47,7,9,10
368.66,15,5,6
368.84,12,12,11
369.02,12,8,9
369.21,16,11,3
369.39,14,13,13
369.57,12,10,11
369.76,7,10,4
369.94,10,12,8
370.12,16,10,8
370.3,9,10,6
370.49,10,8,9
370.67,14,17,10
370.85,11,5,9
371.04,17,12,10
371.22,9,13,7
371.4,12,15,9
371.58,9,12,6
371.77,7,10,11
371.95,11,5,5
372.13,7,7,10
372.31,12,9,13
372.5,18,12,16
372.68,10,11,6
372.86,12,10,10
373.04,13,9,8
373.23,20,11,14
373.41,8,14,7
373.59,14,7,6
373.77,10,8,10
373.96,14,11,13
374.14,12,10,16
374.32,19,14,12
374.5,11,8,6
374.68,8,10,6
374.87,11,11,9
375.05,10,9,10
375.23,11,16,9
375.41,9,12,9
375.6,10,9,12
375.78,11,6,14
375.96,8,11,9
376.14,9,13,14
376.32,9,13,6
376.5,11,15,6
376.69,16,9,10
376.87,9,16,6
377.05,10,10,6
377.23,11,13,1
377.41,7,8,10
377.6,7,9,15
377.78,8,9,7
377.96,12,9,11
378.14,9,7,6
378.32,14,9,7
378.5,9,11,9
378.69,18,14,17
378.87,16,11,8
379.05,9,12,9
379.23,9,14,9
379.41,15,7,11
379.59,9,14,13
379.77,6,8,5
379.96,7,6,4
380.14,12,11,7
380.32,8,11,6
380.5,9,13,10
380.68,10,13,13
380.86,13,6,10
381.04,10,10,12
381.22,5,5,8
381.41,11,15,7
381.59,8,15,7
381.77,14,13,7
381.95,17,14,9
382.13,16,3,7
382.31,15,15,14
382.49,4,14,2
382.67,12,13,9
382.85,5,9,13
383.03,16,9,4
383.22,14,10,11
383.4,8,11,6
383.58,26,24,23
383.76,17,5,7
383.94,4,8,4
384.12,13,10,3
384.3,7,9,11
384.48,10,8,8
384.66,13,15,13
384.84,10,7,13
385.02,17,12,15
385.2,9,7,6
385.38,10,7,7
385.56,15,11,10
385.74,12,8,9
385.92,9,11,11
386.11,10,9,12
386.29,8,16,12
386.47,3,7,7
386.65,7,2,4
386.83,15,19,11
387.01,10,8,4
387.19,8,9,5
387.37,18,8,6
387.55,7,7,4
387.73,13,11,3
387.91,17,7,9
388.09,8,12,11
388.27,11,11,9
388.45,1,8,9
388.63,18,18,8
388.81,11,15,10
388.99,13,17,10
389.17,8,6,7
389.35,12,6,8
389.53,5,14,11
389.71,15,8,5
389.89,15,19,14
390.07,15,11,13
390.25,7,13,5
390.43,4,14,4
390.6,4,9,11
390.78,8,9,11
390.96,16,13,5
391.14,18,6,9
391.32,10,10,13
391.5,9,9,11
391.68,11,16,9
391.86,14,8,8
392.04,11,11,7
392.22,13,12,9
392.4,15,15,8
392.58,15,11,3
392.76,5,12,11
392.94,9,8,14
393.12,10,15,9
393.3,17,13,12
393.47,8,5,9
393.65,10,8,13
393.83,16,13,9
394.01,11,12,18
394.19,10,12,4
394.37,14,13,18
394.55,15,16,9
394.73,14,8,11
394.91,18,9,10
395.09,12,11,13
395.26,14,10,9
395.44,12,9,5
395.62,8,13,7
395.8,14,14,10
395.98,13,14,6
396.16,13,9,15
396.34,10,9,8
396.52,6,7,7
396.69,3,12,9
396.87,14,16,11
397.05,14,8,14
397.23,7,7,3
397.41,10,13,9
397.59,12,15,8
397.76,12,11,14
397.94,9,10,12
398.12,9,12,5
398.3,16,12,9
398.48,9,12,10
398.66,12,11,8
398.83,9,6,6
399.01,11,10,9
399.19,8,12,5
399.37,10,7,8
399.55,17,11,4
399.73,11,9,9
399.9,13,9,17
400.08,13,11,14
400.26,16,8,5
400.44,13,14,14
400.61,7,10,9
400.79,10,9,10
400.97,13,12,9
401.15,13,12,10
401.33,18,15,18
401.5,17,13,9
401.68,14,11,10
401.86,13,9,9
402.04,23,16,16
402.21,13,11,11
402.39,6,9,8
402.57,13,9,9
402.75,13,9,3
402.92,6,11,5
403.1,17,14,12
403.28,15,9,9
403.46,4,8,1
403.63,8,6,12
403.81,17,16,9
403.99,40,30,21
404.17,98,68,65
404.34,91,67,57
404.52,28,23,23
404.7,14,11,14
404.87,2,14,10
405.05,19,12,10
405.23,15,12,12
405.41,9,13,13
405.58,14,6,7
405.76,11,10,10
405.94,13,8,6
406.11,11,13,8
406.29,12,9,15
406.47,12,9,12
406.64,11,15,9
406.82,13,7,5
407,17,12,15
407.17,13,7,11
407.35,16,14,10
407.53,15,12,13
407.7,9,11,5
407.88,12,13,13
408.06,8,10,7
408.23,14,5,8
408.41,8,8,9
408.59,10,12,9
408.76,5,8,6
408.94,12,8,16
409.12,18,15,13
409.29,9,13,4
409.47,15,11,13
409.64,11,7,15
409.82,5,7,8
410,16,11,14
410.17,15,12,7
410.35,5,10,11
410.52,11,9,13
410.7,6,12,7
410.88,11,10,9
411.05,7,10,11
411.23,16,11,15
411.4,8,15,12
411.58,9,10,4
411.76,11,12,8
411.93,13,9,9
412.11,8,4,5
412.28,10,6,7
412.46,12,13,4
412.63,18,16,10
412.81,10,9,5
412.99,9,13,12
413.16,5,12,9
413.34,13,16,10
413.51,12,13,12
413.69,12,12,12
413.86,9,8,10
414.04,14,17,14
414.21,14,10,7
414.39,15,7,8
414.56,12,13,11
414.74,16,11,9
414.92,9,10,7
415.09,11,12,10
415.27,21,17,8
415.44,53,36,28
415.62,39,29,25
415.79,12,16,15
415.97,17,11,16
416.14,13,20,14
416.32,14,9,8
416.49,12,12,4
416.67,10,9,9
416.84,11,12,12
417.01,9,12,10
417.19,6,14,3
417.36,14,12,11
417.54,13,15,7
417.71,19,9,18
417.89,7,10,16
418.06,15,17,9
418.24,13,10,9
418.41,16,11,13
418.59,20,16,18
418.76,22,20,19
418.94,13,9,16
419.11,13,7,12
419.28,18,14,10
419.46,34,27,25
419.63,55,40,30
419.81,48,32,27
419.98,20,15,16
420.16,10,12,8
420.33,14,14,10
420.5,17,14,6
420.68,12,13,9
420.85,11,5,8
421.03,9,8,6
421.2,13,8,10
421.37,14,4,10
421.55,10,10,7
421.72,13,15,13
421.9,12,10,7
422.07,13,6,7
422.24,12,10,12
422.42,16,9,15
422.59,15,12,10
422.76,16,14,8
422.94,6,14,8
423.11,11,12,15
423.28,7,9,10
423.46,9,10,10
423.63,11,7,8
423.8,17,4,8
423.98,5,8,9
424.15,16,11,6
424.32,15,14,5
424.5,13,14,7
424.67,22,21,20
424.84,16,10,16
425.02,12,17,15
425.19,13,13,13
425.36,18,13,13
425.54,29,16,15
425.71,20,21,16
425.88,12,11,4
426.06,17,16,8
426.23,23,17,8
426.4,17,20,9
426.57,19,18,16
426.75,31,23,19
426.92,26,19,23
427.09,14,17,11
427.27,10,14,12
427.44,14,11,11
427.61,7,12,11
427.78,7,7,9
427.96,13,13,5
428.13,16,5,6
428.3,13,7,9
428.47,11,11,11
428.65,7,10,10
428.82,17,16,5
428.99,10,9,9
429.16,11,14,5
429.34,6,8,5
429.51,20,15,15
429.68,20,18,17
429.85,14,9,15
430.02,16,10,9
430.2,11,5,11
430.37,13,10,17
430.54,8,8,13
430.71,11,12,7
430.88,15,20,9
431.06,14,12,14
431.23,15,7,9
431.4,19,15,7
431.57,10,10,15
431.74,16,17,10
431.92,19,12,11
432.09,13,13,7
432.26,12,11,9
432.43,12,13,13
432.6,15,14,11
432.77,23,11,13
432.94,29,20,14
433.12,30,23,14
433.29,17,13,10
433.46,27,19,20
433.63,17,17,15
433.8,16,17,10
433.97,21,9,12
434.14,21,16,14
434.32,19,11,7
434.49,13,22,10
434.66,22,8,11
434.83,14,16,12
435,16,8,14
435.17,71,45,35
435.34,340,208,207
435.51,371,219,220
435.68,124,74,83
435.85,37,33,27
436.03,19,10,18
436.2,14,12,13
436.37,15,14,13
436.54,11,13,12
436.71,12,13,7
436.88,12,8,16
437.05,6,6,11
437.22,12,12,10
437.39,18,11,14
437.56,11,12,8
437.73,14,14,7
437.9,16,12,8
438.07,17,9,3
438.24,11,20,12
438.41,17,10,14
438.58,17,14,10
438.75,13,13,7
438.92,12,9,12
439.09,16,15,16
439.26,6,13,11
439.43,16,10,8
439.6,14,10,4
439.77,12,9,9
439.94,10,4,7
440.11,11,15,15
440.28,12,13,12
440.45,12,12,12
440.62,20,6,9
440.79,12,11,14
440.96,13,15,7
441.13,7,13,6
441.3,9,13,7
441.47,14,14,5
441.64,7,17,14
441.81,10,11,11
441.98,20,7,10
442.15,9,12,11
442.32,13,13,10
442.49,16,6,9
442.66,10,5,6
442.83,8,15,16
443,17,5,14
443.17,12,4,11
443.33,12,9,4
443.5,8,0,4
443.67,5,15,10
443.84,8,13,10
444.01,8,12,11
444.18,8,11,2
444.35,15,10,10
444.52,14,10,10
444.69,11,9,11
444.86,16,8,5
445.02,11,13,13
445.19,14,10,13
445.36,13,9,13
445.53,12,14,11
445.7,16,7,7
445.87,15,22,16
446.04,14,9,9
446.2,14,7,9
446.37,8,8,8
446.54,9,14,9
446.71,11,15,10
446.88,7,6,10
447.05,7,12,14
447.21,6,8,10
447.38,10,14,8
447.55,13,6,11
447.72,13,6,9
447.89,11,9,13
448.06,10,17,10
448.22,7,14,6
448.39,12,8,5
448.56,17,10,11
448.73,8,6,8
448.9,1,15,13
449.06,9,7,10
449.23,9,11,14
449.4,16,7,10
449.57,17,18,15
449.73,12,10,5
449.9,13,11,4
450.07,14,12,13
450.24,17,6,7
450.4,25,14,11
450.57,13,11,15
450.74,11,8,6
450.91,11,12,14
451.07,13,8,11
451.24,15,13,11
451.41,13,9,10
451.58,18,14,11
451.74,8,13,12
451.91,20,7,13
452.08,11,13,9
452.24,11,10,13
452.41,12,10,12
452.58,10,10,10
452.75,15,16,9
452.91,9,12,7
453.08,15,16,12
453.25,12,9,9
453.41,13,16,13
453.58,13,7,10
453.75,8,12,6
453.91,10,14,9
454.08,12,7,7
454.25,10,14,12
454.41,8,14,11
454.58,10,10,9
454.75,12,8,10
454.91,11,9,0
455.08,11,10,9
455.25,18,17,10
455.41,14,18,11
455.58,20,12,12
455.74,15,5,8
455.91,7,10,17
456.08,14,12,15
456.24,7,7,14
456.41,11,10,7
456.57,9,10,13
456.74,10,7,8
456.91,7,8,12
457.07,3,6,8
457.24,11,5,10
457.4,6,12,11
457.57,4,11,9
457.74,9,5,11
457.9,14,6,7
458.07,12,6,10
458.23,11,10,10
458.4,17,3,7
458.56,17,9,3
458.73,14,13,10
458.89,11,12,11
459.06,10,16,11
459.22,15,14,18
459.39,13,2,10
459.56,13,13,8
459.72,15,18,7
459.89,18,21,16
460.05,6,11,15
460.22,15,11,10
460.38,14,12,7
460.55,9,8,7
460.71,8,13,6
460.88,11,10,11
461.04,10,12,10
461.21,16,13,9
461.37,9,11,0
461.54,7,19,8
461.7,8,12,7
461.86,13,16,17
462.03,11,10,17
462.19,13,2,8
462.36,12,10,13
462.52,10,10,9
462.69,11,8,13
462.85,9,10,11
463.02,13,6,10
463.18,16,19,10
463.35,16,16,12
463.51,14,12,13
463.67,12,14,9
463.84,10,5,7
464,19,9,15
464.17,16,8,7
464.33,13,18,10
464.49,6,14,0
464.66,6,18,7
464.82,10,14,12
464.99,16,7,9
465.15,11,6,8
465.31,10,10,11
465.48,13,11,8
465.64,15,12,11
465.8,14,8,11
465.97,9,6,11
466.13,20,4,11
466.3,16,10,16
466.46,10,10,6
466.62,10,8,10
466.79,15,12,7
466.95,12,14,14
467.11,16,15,17
467.28,10,8,10
467.44,17,10,7
467.6,8,10,11
467.77,13,13,10
467.93,12,10,12
468.09,6,5,7
468.25,11,7,8
468.42,11,14,8
468.58,12,15,10
468.74,16,13,12
468.91,10,10,14
469.07,12,11,11
469.23,13,18,11
469.39,17,9,21
469.56,15,11,10
469.72,13,6,7
469.88,15,4,9
470.05,14,10,10
470.21,12,8,10
470.37,8,5,8
470.53,15,10,6
470.69,10,7,8
470.86,16,13,10
471.02,15,6,5
471.18,15,7,7
471.34,14,14,5
471.51,17,11,8
471.67,10,12,11
471.83,10,12,13
471.99,6,8,10
472.15,7,15,13
472.32,17,15,13
472.48,7,11,8
472.64,10,8,10
472.8,12,10,7
472.96,15,13,16
473.13,15,17,7
473.29,12,8,12
473.45,14,10,12
473.61,13,13,10
473.77,12,9,14
473.93,14,10,5
474.09,9,11,11
474.26,10,12,10
474.42,11,13,5
474.58,7,6,11
474.74,19,12,6
474.9,17,9,5
475.06,12,12,8
475.22,13,11,17
475.38,8,4,3
475.55,5,12,8
475.71,14,11,2
475.87,9,8,12
476.03,12,9,8
476.19,13,7,10
476.35,7,11,13
476.51,13,16,14
476.67,14,16,9
476.83,14,10,7
476.99,14,8,6
477.15,17,15,5
477.31,9,10,2
477.47,8,10,9
477.64,12,3,7
477.8,14,8,11
477.96,11,12,12
478.12,11,9,11
478.28,11,6,6
478.44,14,10,9
478.6,11,5,11
478.76,13,18,8
478.92,8,9,9
479.08,19,9,14
479.24,8,7,6
479.4,21,16,16
479.56,8,10,12
479.72,11,6,7
479.88,16,5,11
480.04,15,11,11
480.2,10,14,16
480.36,9,9,10
480.52,13,6,5
480.68,14,12,2
480.84,6,11,13
480.99,19,11,17
481.15,15,12,11
481.31,15,12,11
481.47,13,10,7
481.63,18,13,11
481.79,11,9,10
481.95,17,7,8
482.11,15,14,7
482.27,13,11,13
482.43,14,17,19
482.59,16,9,7
482.75,11,4,12
482.91,11,8,9
483.06,13,13,7
483.22,13,19,13
483.38,11,9,11
483.54,14,9,13
483.7,19,11,2
483.86,13,16,13
484.02,19,12,8
484.18,14,10,11
484.33,15,8,16
484.49,13,17,14
484.65,41,44,47
484.81,19,15,16
484.97,9,14,9
485.13,16,14,15
485.28,10,13,11
485.44,19,15,7
485.6,18,8,9
485.76,8,16,14
485.92,13,15,11
486.08,19,16,15
486.23,17,7,13
486.39,20,9,14
486.55,15,13,14
486.71,23,15,8
486.87,16,11,8
487.02,10,12,9
487.18,22,10,10
487.34,17,12,10
487.5,21,11,12
487.65,21,8,14
487.81,22,9,12
487.97,13,6,11
488.13,10,11,11
488.28,19,9,12
488.44,16,10,14
488.6,11,12,5
488.76,12,16,12
488.91,10,12,12
489.07,15,10,10
489.23,14,12,10
489.38,15,9,13
489.54,21,20,16
489.7,17,10,8
489.85,18,17,13
490.01,17,20,15
490.17,10,13,13
490.33,12,12,4
490.48,18,10,14
490.64,15,10,12
490.8,23,14,13
490.95,14,10,12
491.11,20,8,13
491.27,9,16,5
491.42,17,13,11
491.58,17,14,13
491.73,10,4,12
491.89,13,9,11
492.05,8,11,7
492.2,13,11,4
492.36,19,13,9
492.52,11,7,15
492.67,13,13,15
492.83,7,2,11
492.98,14,15,9
493.14,11,10,9
493.3,15,11,16
493.45,11,6,4
493.61,10,11,14
493.76,11,12,7
