WL,Data,Data,Data
365.73,0,0,0
365.91,13,5,3
366.09,4,10,9
366.28,7,6,9
366.46,7,12,7
366.64,8,15,9
366.83,7,14,7
367.01,9,13,12
367.19,5,6,14
367.38,0,10,2
367.56,4,9,10
367.74,6,12,11
367.93,8,13,10
368.11,6,9,11
368.29,10,10,8
368.47,4,6,7
368.66,9,7,10
368.84,11,12,6
369.02,5,5,11
369.21,5,8,7
369.39,17,3,6
369.57,10,4,12
369.76,11,12,5
369.94,9,0,9
370.12,19,15,12
370.3,29,28,24
370.49,20,18,14
370.67,12,13,14
370.85,16,9,14
371.04,18,14,11
371.22,9,10,12
371.4,15,14,10
371.58,12,14,13
371.77,22,19,19
371.95,15,12,19
372.13,16,18,16
372.31,19,16,18
372.5,14,9,15
372.68,15,19,21
372.86,23,12,20
373.04,32,24,23
373.23,24,34,21
373.41,32,27,22
373.59,27,31,20
373.77,40,28,30
373.96,41,32,29
374.14,50,41,38
374.32,69,50,47
374.5,77,52,52
374.68,103,73,74
374.87,52,45,51
375.05,19,17,23
375.23,11,16,15
375.41,11,12,11
375.6,14,11,8
375.78,8,7,9
375.96,14,8,12
376.14,13,8,8
376.32,12,7,11
376.5,16,11,18
376.69,14,17,13
376.87,13,12,11
377.05,16,17,10
377.23,19,10,13
377.41,15,15,13
377.6,23,9,15
377.78,15,14,20
377.96,21,19,17
378.14,25,19,23
378.32,31,14,26
378.5,33,24,26
378.69,40,39,47
378.87,41,35,38
379.05,40,40,44
379.23,54,46,33
379.41,63,44,47
379.59,101,70,68
379.77,99,90,91
379.96,35,43,46
380.14,19,11,23
380.32,12,11,2
380.5,12,11,4
380.68,10,7,8
380.86,5,10,3
381.04,8,11,11
381.22,6,10,8
381.41,13,6,12
381.59,8,14,8
381.77,9,12,9
381.95,9,7,13
382.13,10,12,15
382.31,10,11,13
382.49,9,15,4
382.67,11,12,8
382.85,13,8,9
383.03,6,8,9
383.22,9,11,15
383.4,11,14,7
383.58,21,22,25
383.76,15,11,12
383.94,13,14,18
384.12,20,8,17
384.3,18,17,12
384.48,17,16,18
384.66,19,16,19
384.84,23,21,24
385.02,33,24,23
385.2,20,18,13
385.38,14,12,16
385.56,15,13,17
385.74,14,17,14
385.92,14,9,6
386.11,14,6,6
386.29,14,13,11
386.47,15,16,16
386.65,10,13,17
386.83,26,17,21
387.01,21,23,11
387.19,17,18,17
387.37,19,14,24
387.55,26,17,18
387.73,40,26,27
387.91,34,32,34
388.09,26,26,27
388.27,30,26,28
388.45,37,24,23
388.63,45,34,35
388.81,51,42,47
388.99,39,37,37
389.17,21,16,25
389.35,24,19,26
389.53,23,17,23
389.71,27,21,19
389.89,24,29,25
390.07,21,20,21
390.25,25,20,16
390.43,28,21,20
390.6,33,23,24
390.78,60,42,51
390.96,44,44,47
391.14,20,23,22
391.32,12,16,15
391.5,14,10,5
391.68,21,12,13
391.86,22,15,13
392.04,20,20,18
392.22,19,20,19
392.4,27,19,25
392.58,32,27,23
392.76,41,30,23
392.94,37,33,31
393.12,33,30,20
393.3,43,31,29
393.47,56,45,46
393.65,77,61,59
393.83,48,56,49
394.01,23,30,18
394.19,16,11,18
394.37,13,8,15
394.55,14,9,14
394.73,12,11,18
394.91,8,10,15
395.09,15,13,11
395.26,14,12,11
395.44,15,11,8
395.62,11,12,14
395.8,7,11,10
395.98,11,12,16
396.16,17,23,15
396.34,17,12,14
396.52,19,9,17
396.69,17,15,17
396.87,15,16,13
397.05,19,11,19
397.23,18,17,25
397.41,18,19,16
397.59,25,25,16
397.76,22,26,20
397.94,29,27,31
398.12,35,27,22
398.3,35,30,33
398.48,39,37,36
398.66,50,34,34
398.83,51,38,45
399.01,66,55,53
399.19,92,81,75
399.37,68,73,64
399.55,25,29,23
399.73,19,19,21
399.9,10,13,12
400.08,5,6,13
400.26,8,18,11
400.44,12,10,5
400.61,9,9,7
400.79,11,11,9
400.97,6,12,12
401.15,9,14,5
401.33,15,16,16
401.5,5,9,11
401.68,10,10,11
401.86,8,16,12
402.04,12,15,10
402.21,9,10,12
402.39,14,13,15
402.57,12,11,9
402.75,11,11,12
402.92,16,11,13
403.1,8,14,11
403.28,18,9,23
403.46,16,17,12
403.63,19,12,17
403.81,19,16,19
403.99,21,21,20
404.17,31,21,23
404.34,32,29,19
404.52,31,22,23
404.7,29,27,23
404.87,27,28,27
405.05,31,27,26
405.23,58,35,40
405.41,67,56,47
405.58,34,40,37
405.76,17,22,18
405.94,16,8,15
406.11,9,10,16
406.29,13,10,13
406.47,12,8,14
406.64,14,5,12
406.82,15,10,9
407,12,14,13
407.17,11,20,17
407.35,21,15,11
407.53,14,18,15
407.7,16,11,14
407.88,11,16,16
408.06,20,17,15
408.23,29,18,17
408.41,21,17,15
408.59,24,15,19
408.76,28,23,23
408.94,35,33,32
409.12,19,22,22
409.29,13,18,13
409.47,9,14,8
409.64,13,9,12
409.82,7,9,5
410,8,14,8
410.17,17,7,10
410.35,10,8,9
410.52,14,9,14
410.7,15,8,10
410.88,6,8,4
411.05,6,13,10
411.23,13,8,11
411.4,15,8,9
411.58,6,10,15
411.76,16,15,13
411.93,13,17,8
412.11,21,13,18
412.28,19,19,21
412.46,20,24,10
412.63,19,19,18
412.81,20,25,15
412.99,22,18,20
413.16,22,16,20
413.34,28,23,24
413.51,44,25,31
413.69,41,31,41
413.86,23,21,23
414.04,16,19,20
414.21,4,15,9
414.39,12,12,9
414.56,7,13,14
414.74,16,8,10
414.92,13,10,12
415.09,11,11,10
415.27,11,11,7
415.44,10,11,13
415.62,13,10,17
415.79,9,10,11
415.97,13,13,12
416.14,19,11,17
416.32,14,13,18
416.49,14,16,14
416.67,11,19,12
416.84,17,16,15
417.01,21,15,11
417.19,25,15,15
417.36,18,14,19
417.54,21,23,29
417.71,33,27,24
417.89,30,23,23
418.06,27,22,21
418.24,31,20,28
418.41,33,25,21
418.59,33,21,24
418.76,37,23,31
418.94,33,23,31
419.11,36,26,31
419.28,34,28,27
419.46,54,36,44
419.63,59,48,46
419.81,38,33,33
419.98,21,23,17
420.16,14,16,11
420.33,15,19,11
420.5,24,17,15
420.68,16,9,17
420.85,10,16,15
421.03,13,16,16
421.2,15,15,19
421.37,15,7,10
421.55,20,17,7
421.72,18,16,20
421.9,17,21,7
422.07,15,12,10
422.24,14,12,12
422.42,19,15,17
