X,Y
0,94.333
1,93.811
2,89.105
3,91.425
4,89.139
5,84.561
6,87.889
7,88.27
8,94.985
9,89.872
10,86.774
11,92.043
12,93.532
13,95.034
14,84.456
15,72.503
16,67.935
17,65.601
18,69.6
19,60.23
20,64.321
21,61.103
22,59.328
23,54.05
24,51.41
25,50.751
26,47.23
27,43.312
28,35.517
29,38.436
30,36.937
31,39.299
32,30.207
33,37.516
34,33.025
35,36.221
36,34.182
37,31.94
38,31.291
39,35.193
40,33.245
41,29.657
42,32.037
43,32.84
44,34.142
45,30.403
46,30.748
47,29.011
48,29.096
49,34.05
50,30.369
51,27.583
52,32.934
53,34.621
54,37.655
55,28.392
56,27.357
57,35.532
58,33.212
59,32.193
60,32.157
61,29.437
62,32.624
63,25.664
64,25.949
65,23.874
66,27.477
67,30.788
68,25.375
69,26.006
70,31.283
71,30.808
72,29.367
73,27.738
74,25.245
75,25.389
76,30.446
77,29.548
78,30.093
79,26.606
80,23.54
81,23.474
82,27.161
83,25.741
84,25.843
85,25.106
86,30.035
87,30.528
88,22.319
89,23.166
90,23.568
91,27.399
92,30.15
93,35.329
94,28.779
95,24.97
96,28.41
97,26.929
98,22.978
99,29.133
100,30.039
101,27.531
102,30.569
103,31.009
104,26.52
105,19.881
106,23.36
107,29.352
108,34.529
109,33.333
110,25.344
111,24.291
112,27.488
113,39.532
114,23.825
115,74.671
116,176.319
117,99.855
118,23.794
119,38.634
120,28.619
121,26.681
122,25.526
123,25.514
124,24.278
125,23.217
126,22.009
127,17.198
128,17.839
129,23.799
130,25.65
131,25.7
132,25.431
133,21.538
134,22.011
135,25.973
136,26.524
137,23.418
138,22.416
139,25.423
140,22.411
141,24.219
142,26.229
143,25.11
144,24.216
145,22.294
146,25.595
147,22.103
148,18.833
149,31.796
150,28.488
151,15.445
152,19.505
153,19.624
154,21.617
155,19.224
156,18.615
157,20.557
158,20.486
159,25.862
160,27.315
161,27.965
162,32.61
163,31.187
164,84.695
165,145.549
166,13.24
167,22.339
168,27.377
169,26.437
170,25.134
171,18.269
172,17.414
173,21.186
174,17.414
175,16.777
176,18.804
177,19.571
178,18.256
179,13.178
180,16.885
181,10.581
182,13.624
183,13.194
184,12.877
185,8.311
186,11.009
187,11.24
188,13.81
189,36.811
190,26.682
191,6.144
192,9.456
193,4.367
194,6.598
195,11.624
196,11.404
197,11.085
198,9.237
199,14.207
200,29.704
201,63.028
202,39.892
203,8.896
204,12.763
205,11.331
206,9.223
207,11.815
208,11.234
209,10.726
210,12.469
211,14.858
212,10.003
213,11.689
214,12.851
215,9.838
216,9.339
217,13.047
218,9.956
219,13.088
220,12.014
221,13.822
222,14.832
223,8.868
224,11.86
225,9.63
226,10.646
227,9.393
228,11.152
229,6.569
230,6.623
231,9.003
232,5.872
233,7.635
234,5.618
235,7.754
236,2.695
237,5.153
238,2.426
239,10
