X,Y
0,99.333
1,96.226
2,93.198
3,91.261
4,86.666
5,86.357
6,66.318
7,76.973
8,86.401
9,77.449
10,77.105
11,77.94
12,74.159
13,72.383
14,66.45
15,68.334
16,68.707
17,66.162
18,59.656
19,54.487
20,55.429
21,55.458
22,50.904
23,44.172
24,43.314
25,43.401
26,44.808
27,46.975
28,37.142
29,38.361
30,37.81
31,37.282
32,41.957
33,42.108
34,40.091
35,41.786
36,40.061
37,34.319
38,32.884
39,37.13
40,39.212
41,36.193
42,35.994
43,33.62
44,32.116
45,31.23
46,33.227
47,37.467
48,35.479
49,32.444
50,37.022
51,33.16
52,32.208
53,32.367
54,33.167
55,34.61
56,35.861
57,28.221
58,26.226
59,36.858
60,33.123
61,35.184
62,36.617
63,28.816
64,27.594
65,38.477
66,33.233
67,24.572
68,32.897
69,30.992
70,28.424
71,31.375
72,33.743
73,26.018
74,32.371
75,27.895
76,31.636
77,34.271
78,35.95
79,36.442
80,30.318
81,26.926
82,35.754
83,60.283
84,41.14
85,32.56
86,29.805
87,28.556
88,28.882
89,29.509
90,26.094
91,26.563
92,30.667
93,23.769
94,24.333
95,24.174
96,26.744
97,31.83
98,32.688
99,32.524
100,38.102
101,40.766
102,45.213
103,55.121
104,45.056
105,78.276
106,199.637
107,124.465
108,41.91
109,41.594
110,31.977
111,22.638
112,28.252
113,33.699
114,31.876
115,28.108
116,29.803
117,27.55
118,26.719
119,27.161
120,24.48
121,24.9
122,24.589
123,24.25
124,21.368
125,22.333
126,25.91
127,25.721
128,24.924
129,22.155
130,23.859
131,27.173
132,29.712
133,27.884
134,21.086
135,21.1
136,25.584
137,22.977
138,23.575
139,42.617
140,44.553
141,22.133
142,26.989
143,26.38
144,26.974
145,25.025
146,16.613
147,21.223
148,24.189
149,29.492
150,26.741
151,27.884
152,33.705
153,19.333
154,132.986
155,211.724
156,0.289
157,34.562
158,24.489
159,22.999
160,15.424
161,16.922
162,23.51
163,21.458
164,18.349
165,18.954
166,28.386
167,20.123
168,19.496
169,17.37
170,19.184
171,14.255
172,14.702
173,17.973
174,16.927
175,12.496
176,9.857
177,10.24
178,11.036
179,32.471
180,23.856
181,12.148
182,11.835
183,10.636
184,11.294
185,14.987
186,17.866
187,12.778
188,14.333
189,15.515
190,31.521
191,61.023
192,41.695
193,16.459
194,13.478
195,11.514
196,9.916
197,9.809
198,10.018
199,10.694
200,10.826
201,9.327
202,12.349
203,12.138
204,9.758
205,9.023
206,8.332
207,10.864
208,6.311
209,4.832
210,8.418
211,13.261
212,17.311
213,11.683
214,7.834
215,7.122
216,8.594
217,7.841
218,11.857
219,9.474
220,9.143
221,7.995
222,11.203
223,6.15
224,7.19
225,3.204
226,5.901
227,7.097
228,9.611
229,7.412
230,8.466
231,9.024
232,9.41
233,3.715
234,4.989
235,3.667
